Number Flocks;Length;Grid;Time;Flocks
18;10;1;9;207
18;10;1.1;12;281
18;10;1.2;12;482
18;10;1.3;15;435
18;10;1.4;15;542
18;10;1.5;18;555
18;12;0.8;6;144
18;12;0.9;6;124
18;12;1;9;147
18;12;1.1;11;160
18;12;1.2;12;213
18;12;1.3;15;274
18;12;1.4;15;336
18;12;1.5;18;346
18;14;0.8;6;46
18;14;0.9;6;78
18;14;1;9;103
18;14;1.1;12;127
18;14;1.2;12;147
18;14;1.3;15;140
18;14;1.4;15;185
18;14;1.5;18;215
18;16;0.8;6;13
18;16;0.9;6;40
18;16;1;9;47
18;16;1.1;11;81
18;16;1.2;12;84
18;16;1.3;15;76
18;16;1.4;15;99
18;16;1.5;17;113
18;18;0.8;6;6
18;18;0.9;6;28
18;18;1;9;30
18;18;1.1;12;44
18;18;1.2;12;53
18;18;1.3;15;53
18;18;1.4;15;58
18;18;1.5;18;65
18;20;0.8;6;1
18;20;0.9;6;11
18;20;1;9;24
18;20;1.1;12;27
18;20;1.2;13;42
18;20;1.3;15;39
18;20;1.4;15;41
18;20;1.5;18;44
20;4;0.8;5;370
20;4;0.9;6;410
20;4;1;8;500
20;4;1.1;10;663
20;4;1.2;10;924
20;4;1.3;13;897
20;4;1.4;12;970
20;4;1.5;15;1121
20;6;0.8;6;249
20;6;0.9;5;293
20;6;1;8;369
20;6;1.1;10;465
20;6;1.2;11;750
20;6;1.3;13;632
20;6;1.4;14;702
20;6;1.5;15;741
20;8;0.8;5;160
20;8;0.9;6;201
20;8;1;8;258
20;8;1.1;10;322
20;8;1.2;11;538
20;8;1.3;13;441
20;8;1.4;13;510
20;8;1.5;16;565
20;10;0.8;6;103
20;10;0.9;6;112
20;10;1;8;142
20;10;1.1;10;192
20;10;1.2;11;309
20;10;1.3;14;317
20;10;1.4;13;355
20;10;1.5;16;372
20;12;0.8;5;94
20;12;0.9;6;72
20;12;1;8;105
20;12;1.1;10;104
20;12;1.2;10;149
20;12;1.3;14;172
20;12;1.4;14;203
20;12;1.5;16;232
20;14;0.8;6;7
20;14;0.9;5;35
20;14;1;8;70
20;14;1.1;10;82
20;14;1.2;11;93
20;14;1.3;13;60
20;14;1.4;14;90
20;14;1.5;16;133
20;16;0.8;6;0
20;16;0.9;6;3
