Number Flocks;Length;Grid;Time;Flocks
14;12;1.4;20;746
14;12;1.5;25;866
14;14;0.8;7;155
14;14;0.9;7;182
14;14;1;10;244
14;14;1.1;14;279
14;14;1.2;16;360
14;14;1.3;19;379
14;14;1.4;20;463
14;14;1.5;25;577
14;16;0.8;7;116
14;16;0.9;7;128
14;16;1;11;152
14;16;1.1;14;179
14;16;1.2;16;206
14;16;1.3;19;219
14;16;1.4;20;268
14;16;1.5;25;348
14;18;0.8;7;96
14;18;0.9;7;106
14;18;1;11;115
14;18;1.1;14;136
14;18;1.2;16;132
14;18;1.3;19;141
14;18;1.4;19;160
14;18;1.5;25;199
14;20;0.8;7;86
14;20;0.9;7;91
14;20;1;10;87
14;20;1.1;14;105
14;20;1.2;16;104
14;20;1.3;19;106
14;20;1.4;19;112
14;20;1.5;25;131
16;4;0.8;6;690
16;4;0.9;6;772
16;4;1;8;1039
16;4;1.1;11;1426
16;4;1.2;11;1907
16;4;1.3;14;2008
16;4;1.4;15;2337
16;4;1.5;17;2791
16;6;0.8;6;504
16;6;0.9;6;541
16;6;1;8;656
16;6;1.1;11;899
16;6;1.2;12;1355
16;6;1.3;15;1344
16;6;1.4;15;1420
16;6;1.5;18;1606
16;8;0.8;6;350
16;8;0.9;6;385
16;8;1;9;492
16;8;1.1;11;597
16;8;1.2;12;936
16;8;1.3;15;938
16;8;1.4;15;995
16;8;1.5;18;1099
16;10;0.8;6;249
16;10;0.9;6;249
16;10;1;9;312
16;10;1.1;11;401
16;10;1.2;13;695
16;10;1.3;15;657
16;10;1.4;15;772
16;10;1.5;19;809
16;12;0.8;6;215
16;12;0.9;6;164
16;12;1;9;210
16;12;1.1;11;232
16;12;1.2;13;369
16;12;1.3;16;426
16;12;1.4;16;502
16;12;1.5;19;572
16;14;0.8;6;105
16;14;0.9;6;117
16;14;1;9;147
16;14;1.1;11;183
16;14;1.2;13;205
16;14;1.3;15;251
16;14;1.4;16;285
16;14;1.5;19;338
16;16;0.8;6;67
16;16;0.9;6;77
16;16;1;9;73
16;16;1.1;11;126
16;16;1.2;13;123
16;16;1.3;16;144
16;16;1.4;15;162
16;16;1.5;19;201
16;18;0.8;6;53
16;18;0.9;6;65
16;18;1;9;48
16;18;1.1;11;96
16;18;1.2;13;83
16;18;1.3;15;86
16;18;1.4;16;94
16;18;1.5;19;112
16;20;0.8;6;41
16;20;0.9;6;58
16;20;1;9;35
16;20;1.1;11;69
16;20;1.2;12;62
16;20;1.3;15;65
16;20;1.4;15;73
16;20;1.5;19;77
18;4;0.8;5;499
18;4;0.9;5;556
18;4;1;7;688
18;4;1.1;9;959
18;4;1.2;9;1286
18;4;1.3;12;1306
18;4;1.4;12;1450
18;4;1.5;14;1741
18;6;0.8;5;359
18;6;0.9;5;401
18;6;1;8;484
18;6;1.1;9;614
18;6;1.2;10;981
18;6;1.3;13;903
